,oid,ent,sectionId,EP_1,EP_2
352,1,1,7423,7423,7423
353,1,2,8532,8532,8532
354,1,3,8528,8528,8528
355,1,4,8531,8531,8531
356,1,5,8534,8534,8534
357,1,6,8529,8529,8529
358,1,7,8532,8532,8532
359,1,8,8535,8535,8535
360,1,9,8530,8530,8530
361,1,1,9239,9239,9239
362,1,2,9235,9235,9235
363,1,3,9238,9238,9238
364,1,4,9241,9241,9241
365,1,5,9236,9236,9236
366,1,6,9239,9239,9239
367,1,7,9242,9242,9242
368,1,8,9237,9237,9237
369,1,9,9644,9644,9644
370,1,1,9640,9640,9640
371,1,2,9643,9643,9643
372,1,3,9646,9646,9646
373,1,4,9641,9641,9641
374,1,5,9644,9644,9644
375,1,6,9647,9647,9647
376,1,7,9642,9642,9642
377,1,8,9949,9949,9949
378,1,9,9945,9945,9945
379,1,1,9948,9948,9948
380,1,2,9951,9951,9951
381,1,3,9946,9946,9946
382,1,4,9949,9949,9949
383,1,5,9952,9952,9952
384,1,6,9947,9947,9947
385,1,7,9852,9852,9852
386,1,8,9848,9848,9848
387,1,9,9851,9851,9851
388,1,1,9854,9854,9854
389,1,2,9849,9849,9849
390,1,3,9852,9852,9852
391,1,4,9855,9855,9855
392,1,5,9850,9850,9850
393,1,6,9554,9554,9554
394,1,7,9550,9550,9550
395,1,8,9553,9553,9553
396,1,9,9556,9556,9556
397,1,1,9551,9551,9551
398,1,2,9554,9554,9554
399,1,3,9557,9557,9557
400,1,4,9552,9552,9552
401,1,5,9256,9256,9256
402,1,6,9252,9252,9252
403,1,7,9255,9255,9255
404,1,8,9258,9258,9258
405,1,9,9253,9253,9253
406,1,1,9256,9256,9256
407,1,2,9259,9259,9259
408,1,3,9254,9254,9254
409,1,4,8656,8656,8656
410,1,5,8652,8652,8652
411,1,6,8655,8655,8655
412,1,7,8658,8658,8658
413,1,8,8653,8653,8653
414,1,9,8656,8656,8656
415,1,1,8659,8659,8659
416,1,2,8654,8654,8654
417,1,3,8055,8055,8055
418,1,4,8051,8051,8051
419,1,5,8054,8054,8054
420,1,6,8057,8057,8057
421,1,7,8052,8052,8052
422,1,8,8055,8055,8055
423,1,9,8058,8058,8058
424,1,1,8053,8053,8053
425,1,2,7152,7152,7152
426,1,3,7148,7148,7148
427,1,4,7151,7151,7151
428,1,5,7154,7154,7154
429,1,6,7149,7149,7149
430,1,7,7152,7152,7152
431,1,8,7155,7155,7155
432,1,9,7150,7150,7150
433,1,1,6048,6048,6048
434,1,2,6044,6044,6044
435,1,3,6047,6047,6047
436,1,4,6050,6050,6050
437,1,5,6045,6045,6045
438,1,6,6048,6048,6048
439,1,7,6051,6051,6051
440,1,8,6046,6046,6046
441,1,9,5144,5144,5144
442,1,1,5140,5140,5140
443,1,2,5143,5143,5143
444,1,3,5146,5146,5146
445,1,4,5141,5141,5141
446,1,5,5144,5142,5144
447,1,6,5147,5147,5147
448,1,7,5142,5142,5142
449,1,8,4440,4440,4440
450,1,9,4436,4436,4436
451,1,1,4439,4439,4439
452,1,2,4442,4442,4442
453,1,3,4437,4437,4437
454,1,4,4440,4440,4440
455,1,5,4443,4443,4443
456,1,6,4438,4438,4438
457,1,7,3738,3738,3738
458,1,8,3734,3734,3734
459,1,9,3737,3737,3737
460,1,1,3740,3740,3740
461,1,2,3735,3735,3735
462,1,3,3738,3738,3738
463,1,4,3741,3741,3741
464,1,5,3736,3736,3736
465,1,6,3237,3237,3237
466,1,7,3233,3233,3233
467,1,8,3236,3236,3236
468,1,9,3239,3239,3239
469,1,1,3234,3234,3234
470,1,2,3237,3237,3237
471,1,3,3240,3240,3240
472,1,4,3235,3235,3235
473,1,5,2836,2836,2836
474,1,6,2832,2832,2832
475,1,7,2835,2835,2835
476,1,8,2838,2838,2838
477,1,9,2833,2833,2833
478,1,1,2836,2836,2836
479,1,2,2839,2839,2839
480,1,3,2834,2834,2834
481,1,4,2636,2636,2636
482,1,5,2632,2632,2632
483,1,6,2635,2635,2635
484,1,7,2638,2638,2638
485,1,8,2633,2633,2633
486,1,9,2636,2636,2636
487,1,1,2639,2639,2639
488,1,2,2634,2634,2634
489,1,3,2637,2637,2637
490,1,4,2633,2633,2633
491,1,5,2636,2636,2636
492,1,6,2639,2639,2639
493,1,7,2634,2634,2634
494,1,8,2637,2637,2637
495,1,9,2640,2640,2640
496,1,1,2635,2635,2635
497,1,2,2839,2839,2839
498,1,3,2835,2835,2835
499,1,4,2838,2838,2838
500,1,5,2841,2841,2841
501,1,6,2836,2836,2836
502,1,7,2839,2839,2839
503,1,8,2842,2842,2842
504,1,9,2837,2837,2837
505,1,1,3242,3242,3242
506,1,2,3238,3238,3238
507,1,3,3241,3241,3241
508,1,4,3244,3244,3244
509,1,5,3239,3239,3239
510,1,6,3242,3242,3242
511,1,7,3245,3245,3245
512,1,8,3240,3240,3240
513,1,9,3845,3845,3845
514,1,1,3841,3841,3841
515,1,2,3844,3844,3844
516,1,3,3847,3847,3847
517,1,4,3842,3842,3842
518,1,5,3845,3845,3845
519,1,6,3848,3848,3848
520,1,7,3843,3843,3843
521,1,8,4548,4548,4548
522,1,9,4544,4544,4544
523,1,1,4547,4547,4547
524,1,2,4550,4550,4550
525,1,3,4545,4545,4545
526,1,4,4548,4548,4548
527,1,5,4551,4551,4551
528,1,6,4546,4546,4546
529,1,7,5050,5050,5050
530,1,8,5046,5046,5046
531,1,9,5049,5049,5049
532,1,1,5052,5052,5052
533,1,2,5047,5047,5047
